"year","month","day_of_week","hour_of_day","timestamp","origin_station_complex_id","origin_station_complex_name","origin_latitude","origin_longitude","destination_station_complex_id","destination_station_complex_name","destination_latitude","destination_longitude","estimated_average_ridership","origin_point","destination_point"
"2024","9","Monday","20","2024-09-02T20:00:00.000","320","23 St (1)","40.744081","-73.995657","337","Nevins St (2,3,4,5)","40.688246","-73.980492","0.6824","POINT (-73.995657 40.744081)","POINT (-73.980492 40.688246)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","215","Tremont Av (B,D)","40.85041","-73.905227","212","Kingsbridge Rd (B,D)","40.866978","-73.893509","1.873","POINT (-73.905227 40.85041)","POINT (-73.893509 40.866978)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","122","Graham Av (L)","40.714565","-73.944053","72","Fort Hamilton Pkwy (N)","40.631386","-74.005351","0.481","POINT (-73.944053 40.714565)","POINT (-74.005351 40.631386)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","312","79 St (1)","40.783934","-73.979917","444","Gun Hill Rd (5)","40.869526","-73.846384","0.9446","POINT (-73.979917 40.783934)","POINT (-73.846384 40.869526)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","232","2 Av (F)","40.723402","-73.989938","185","Liberty Av (C)","40.674542","-73.896548","0.2356","POINT (-73.989938 40.723402)","POINT (-73.896548 40.674542)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","180","Kingston-Throop Avs (C)","40.679921","-73.940858","122","Graham Av (L)","40.714565","-73.944053","0.2696","POINT (-73.940858 40.679921)","POINT (-73.944053 40.714565)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","464","Vernon Blvd-Jackson Av (7)","40.742626","-73.953581","283","Greenpoint Av (G)","40.731352","-73.954449","0.4532","POINT (-73.953581 40.742626)","POINT (-73.954449 40.731352)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","83","Woodhaven Blvd (J,Z)","40.693879","-73.851576","34","53 St (R)","40.645069","-74.014034","0.277","POINT (-73.851576 40.693879)","POINT (-74.014034 40.645069)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","273","Queens Plaza (E,M,R)","40.748973","-73.937243","448","Mets-Willets Point (7)","40.754622","-73.845625","0.711","POINT (-73.937243 40.748973)","POINT (-73.845625 40.754622)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","263","63 Dr-Rego Park (M,R)","40.729846","-73.861604","449","111 St (7)","40.75173","-73.855334","1.9548","POINT (-73.861604 40.729846)","POINT (-73.855334 40.75173)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","118","3 Av (L)","40.732849","-73.986122","636","Jay St-MetroTech (A,C,F,R)","40.692259","-73.986642","0.4506","POINT (-73.986122 40.732849)","POINT (-73.986642 40.692259)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","87","Crescent St (J,Z)","40.683194","-73.873785","91","Alabama Av (J)","40.676992","-73.898654","0.7388","POINT (-73.873785 40.683194)","POINT (-73.898654 40.676992)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","213","Fordham Rd (B,D)","40.861296","-73.897749","62","55 St (D)","40.631435","-73.995476","0.2514","POINT (-73.897749 40.861296)","POINT (-73.995476 40.631435)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","392","125 St (4,5,6)","40.804138","-73.937594","71","8 Av (N)","40.635064","-74.011719","0.2696","POINT (-73.937594 40.804138)","POINT (-74.011719 40.635064)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","28","Union St (R)","40.677316","-73.98311","620","Court St (R)/Borough Hall (2,3,4,5)","40.693241","-73.990642","1.2138","POINT (-73.98311 40.677316)","POINT (-73.990642 40.693241)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","359","Flatbush Av-Brooklyn College (2,5)","40.632836","-73.947642","451","Junction Blvd (7)","40.749145","-73.869527","0.7488","POINT (-73.947642 40.632836)","POINT (-73.869527 40.749145)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","307","116 St-Columbia University (1)","40.807722","-73.96411","303","157 St (1)","40.834041","-73.94489","21.882","POINT (-73.96411 40.807722)","POINT (-73.94489 40.834041)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","625","Delancey St (F)/Essex St (J,M,Z)","40.718463","-73.987776","91","Alabama Av (J)","40.676992","-73.898654","0.4622","POINT (-73.987776 40.718463)","POINT (-73.898654 40.676992)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","277","7 Av (E,B,D)","40.762862","-73.981637","612","Lexington Av-53 St (E,M)/51 St (6)","40.75733","-73.970487","10.1334","POINT (-73.981637 40.762862)","POINT (-73.970487 40.75733)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","636","Jay St-MetroTech (A,C,F,R)","40.692259","-73.986642","77","Kings Hwy (N)","40.603923","-73.980353","2.4634","POINT (-73.986642 40.692259)","POINT (-73.980353 40.603923)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","606","Court Sq (E,G,M,7)","40.747141","-73.945032","459","40 St-Lowery St (7)","40.743781","-73.924016","15.0714","POINT (-73.945032 40.747141)","POINT (-73.924016 40.743781)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","212","Kingsbridge Rd (B,D)","40.866978","-73.893509","279","Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","40.700486","-73.807969","1.0208","POINT (-73.893509 40.866978)","POINT (-73.807969 40.700486)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","309","103 St (1)","40.799446","-73.968379","297","215 St (1)","40.869444","-73.915279","0.7008","POINT (-73.968379 40.799446)","POINT (-73.915279 40.869444)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","9","57 St-7 Av (N,Q,R,W)","40.764664","-73.980658","440","116 St (2,3)","40.802098","-73.949625","0.449","POINT (-73.980658 40.764664)","POINT (-73.949625 40.802098)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","620","Court St (R)/Borough Hall (2,3,4,5)","40.693241","-73.990642","42","Prospect Park (B,Q,S)","40.661614","-73.962246","5.2112","POINT (-73.990642 40.693241)","POINT (-73.962246 40.661614)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","62","55 St (D)","40.631435","-73.995476","34","53 St (R)","40.645069","-74.014034","0.2154","POINT (-73.995476 40.631435)","POINT (-74.014034 40.645069)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","399","68 St-Hunter College (6)","40.768141","-73.96387","337","Nevins St (2,3,4,5)","40.688246","-73.980492","0.2322","POINT (-73.96387 40.768141)","POINT (-73.980492 40.688246)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","188","Euclid Av (A,C)","40.675377","-73.872106","616","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","40.746746","-73.891366","0.763","POINT (-73.872106 40.675377)","POINT (-73.891366 40.746746)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","434","3 Av-149 St (2,5)","40.816109","-73.917757","123","Grand St (L)","40.711926","-73.94067","0.2642","POINT (-73.917757 40.816109)","POINT (-73.94067 40.711926)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","318","34 St-Penn Station (1,2,3)","40.750373","-73.991057","245","18 Av (F)","40.629755","-73.976971","0.2502","POINT (-73.991057 40.750373)","POINT (-73.976971 40.629755)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","164","34 St-Penn Station (A,C,E)","40.752287","-73.993391","64","71 St (D)","40.619589","-73.998864","0.708","POINT (-73.993391 40.752287)","POINT (-73.998864 40.619589)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","625","Delancey St (F)/Essex St (J,M,Z)","40.718463","-73.987776","156","103 St (C,B)","40.796092","-73.961454","0.4798","POINT (-73.987776 40.718463)","POINT (-73.961454 40.796092)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","609","Bryant Pk (B,D,F,M)/5 Av (7)","40.754022","-73.983266","175","Hoyt-Schermerhorn Sts (A,C,G)","40.688484","-73.985001","2.5232","POINT (-73.983266 40.754022)","POINT (-73.985001 40.688484)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","314","66 St-Lincoln Center (1)","40.77344","-73.982209","157","96 St (C,B)","40.791642","-73.964696","2.4274","POINT (-73.982209 40.77344)","POINT (-73.964696 40.791642)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","20","City Hall (R,W)","40.713282","-74.006978","398","77 St (6)","40.77362","-73.959874","0.2338","POINT (-74.006978 40.713282)","POINT (-73.959874 40.77362)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","306","125 St (1)","40.815581","-73.958372","393","116 St (6)","40.798629","-73.941617","0.739","POINT (-73.958372 40.815581)","POINT (-73.941617 40.798629)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","422","Burke Av (2,5)","40.871356","-73.867164","420","219 St (2,5)","40.883895","-73.862633","0.7638","POINT (-73.867164 40.871356)","POINT (-73.862633 40.883895)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","158","86 St (C,B)","40.785868","-73.968916","381","Kingsbridge Rd (4)","40.86776","-73.897174","0.2368","POINT (-73.968916 40.785868)","POINT (-73.897174 40.86776)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","460","33 St-Rawson St (7)","40.744587","-73.930997","238","Smith-9 Sts (F,G)","40.67358","-73.995959","0.2266","POINT (-73.930997 40.744587)","POINT (-73.995959 40.67358)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","264","Woodhaven Blvd (M,R)","40.733106","-73.869229","602","14 St-Union Sq (L,N,Q,R,W,4,5,6)","40.735066","-73.990416","1.7424","POINT (-73.869229 40.733106)","POINT (-73.990416 40.735066)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","243","Church Av (F,G)","40.644041","-73.979678","450","103 St-Corona Plaza (7)","40.749865","-73.8627","1.52","POINT (-73.979678 40.644041)","POINT (-73.8627 40.749865)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","622","Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","40.713154","-74.003766","385","176 St (4)","40.84848","-73.911794","3.0554","POINT (-74.003766 40.713154)","POINT (-73.911794 40.84848)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","392","125 St (4,5,6)","40.804138","-73.937594","365","Castle Hill Av (6)","40.834255","-73.851222","5.7626","POINT (-73.937594 40.804138)","POINT (-73.851222 40.834255)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","606","Court Sq (E,G,M,7)","40.747141","-73.945032","205","Beach 60 St (A)","40.592374","-73.788522","0.7074","POINT (-73.945032 40.747141)","POINT (-73.788522 40.592374)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","41","7 Av (B,Q)","40.67705","-73.972367","621","Broadway Junction (A,C,J,L,Z)","40.678896","-73.904356","0.2314","POINT (-73.972367 40.67705)","POINT (-73.904356 40.678896)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","8","5 Av/59 St (N,R,W)","40.764811","-73.973347","80","121 St (J,Z)","40.700492","-73.828294","0.2294","POINT (-73.973347 40.764811)","POINT (-73.828294 40.700492)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","231","Grand St (B,D)","40.718267","-73.993753","151","145 St (A,C,B,D)","40.824783","-73.944216","9.725","POINT (-73.993753 40.718267)","POINT (-73.944216 40.824783)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","223","Lexington Av/63 St (F,Q)","40.764629","-73.966113","423","Allerton Av (2,5)","40.865462","-73.867352","0.2234","POINT (-73.966113 40.764629)","POINT (-73.867352 40.865462)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","55","Brighton Beach (B,Q)","40.577621","-73.961376","313","72 St (1,2,3)","40.778453","-73.98197","0.7332","POINT (-73.961376 40.577621)","POINT (-73.98197 40.778453)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","622","Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","40.713154","-74.003766","286","Broadway (G)","40.706092","-73.950308","1.2114","POINT (-74.003766 40.713154)","POINT (-73.950308 40.706092)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","220","155 St (B,D)","40.830135","-73.938209","125","Morgan Av (L)","40.706152","-73.933147","0.4698","POINT (-73.938209 40.830135)","POINT (-73.933147 40.706152)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","613","Lexington Av (N,R,W)/59 St (4,5,6)","40.762593","-73.967613","445","Pelham Pkwy (5)","40.858985","-73.855359","3.6992","POINT (-73.967613 40.762593)","POINT (-73.855359 40.858985)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","268","65 St (M,R)","40.749669","-73.898453","450","103 St-Corona Plaza (7)","40.749865","-73.8627","0.2612","POINT (-73.898453 40.749669)","POINT (-73.8627 40.749865)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","619","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","40.725606","-73.995432","204","Beach 67 St (A)","40.590927","-73.796924","0.4502","POINT (-73.995432 40.725606)","POINT (-73.796924 40.590927)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","210","Norwood-205 St (D)","40.874811","-73.878855","261","Forest Hills-71 Av (E,F,M,R)","40.721691","-73.844521","0.2518","POINT (-73.878855 40.874811)","POINT (-73.844521 40.721691)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","158","86 St (C,B)","40.785868","-73.968916","325","Canal St (1)","40.722854","-74.006277","0.2368","POINT (-73.968916 40.785868)","POINT (-74.006277 40.722854)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","276","5 Av/53 St (E,M)","40.760167","-73.975224","127","DeKalb Av (L)","40.703811","-73.918425","0.6854","POINT (-73.975224 40.760167)","POINT (-73.918425 40.703811)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","630","Myrtle-Wyckoff Avs (L,M)","40.699622","-73.911986","13","28 St (R,W)","40.745494","-73.988691","0.5392","POINT (-73.911986 40.699622)","POINT (-73.988691 40.745494)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","22","Rector St (R,W)","40.70722","-74.013342","263","63 Dr-Rego Park (M,R)","40.729846","-73.861604","0.2158","POINT (-74.013342 40.70722)","POINT (-73.861604 40.729846)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","153","125 St (A,C,B,D)","40.811109","-73.952343","344","Kingston Av (3)","40.669399","-73.942161","0.2476","POINT (-73.952343 40.811109)","POINT (-73.942161 40.669399)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","236","Bergen St (F,G)","40.686145","-73.990862","4","Broadway (N,W)","40.76182","-73.925508","0.4902","POINT (-73.990862 40.686145)","POINT (-73.925508 40.76182)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","156","103 St (C,B)","40.796092","-73.961454","346","Sutter Av-Rutland Rd (3)","40.664717","-73.92261","0.2338","POINT (-73.961454 40.796092)","POINT (-73.92261 40.664717)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","30","Prospect Av (R)","40.665414","-73.992872","615","New Utrecht Av (N)/62 St (D)","40.625657","-73.996624","1.3444","POINT (-73.992872 40.665414)","POINT (-73.996624 40.625657)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","391","138 St-Grand Concourse (4,5)","40.813224","-73.929849","419","225 St (2,5)","40.888022","-73.860341","0.5098","POINT (-73.929849 40.813224)","POINT (-73.860341 40.888022)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","1","Astoria-Ditmars Blvd (N,W)","40.775036","-73.912034","261","Forest Hills-71 Av (E,F,M,R)","40.721691","-73.844521","0.518","POINT (-73.912034 40.775036)","POINT (-73.844521 40.721691)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","430","Simpson St (2,5)","40.824073","-73.893064","419","225 St (2,5)","40.888022","-73.860341","2.1712","POINT (-73.893064 40.824073)","POINT (-73.860341 40.888022)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","134","Sutter Av (L)","40.669367","-73.901975","209","Far Rockaway-Mott Av (A)","40.603995","-73.755405","0.2688","POINT (-73.901975 40.669367)","POINT (-73.755405 40.603995)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","604","161 St-Yankee Stadium (B,D,4)","40.82795","-73.925741","153","125 St (A,C,B,D)","40.811109","-73.952343","9.125","POINT (-73.925741 40.82795)","POINT (-73.952343 40.811109)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","53","Neck Rd (Q)","40.595246","-73.955161","295","231 St (1)","40.878856","-73.904834","0.2632","POINT (-73.955161 40.595246)","POINT (-73.904834 40.878856)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","310","96 St (1,2,3)","40.793919","-73.972323","423","Allerton Av (2,5)","40.865462","-73.867352","0.9456","POINT (-73.972323 40.793919)","POINT (-73.867352 40.865462)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","264","Woodhaven Blvd (M,R)","40.733106","-73.869229","453","82 St-Jackson Hts (7)","40.747659","-73.883697","3.0096","POINT (-73.869229 40.733106)","POINT (-73.883697 40.747659)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","319","28 St (1)","40.747215","-73.993365","373","E 149 St (6)","40.812118","-73.904098","0.2214","POINT (-73.993365 40.747215)","POINT (-73.904098 40.812118)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","33","45 St (R)","40.648939","-74.010006","10","49 St (N,R,W)","40.759901","-73.984139","0.9798","POINT (-74.010006 40.648939)","POINT (-73.984139 40.759901)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","256","Parsons Blvd (F)","40.707564","-73.803326","622","Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","40.713154","-74.003766","0.566","POINT (-73.803326 40.707564)","POINT (-74.003766 40.713154)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","17","Prince St (R,W)","40.724329","-73.997702","404","28 St (6)","40.74307","-73.984264","1.4084","POINT (-73.997702 40.724329)","POINT (-73.984264 40.74307)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","382","Fordham Rd (4)","40.862803","-73.901034","296","Marble Hill-225 St (1)","40.874561","-73.909831","0.516","POINT (-73.901034 40.862803)","POINT (-73.909831 40.874561)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","2","Astoria Blvd (N,W)","40.770258","-73.917843","398","77 St (6)","40.77362","-73.959874","1.9608","POINT (-73.917843 40.770258)","POINT (-73.959874 40.77362)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","635","South Ferry (1)/Whitehall St (R,W)","40.702578","-74.013329","312","79 St (1)","40.783934","-73.979917","2.1728","POINT (-74.013329 40.702578)","POINT (-73.979917 40.783934)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","611","Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","40.755746","-73.987581","616","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","40.746746","-73.891366","90.9074","POINT (-73.987581 40.755746)","POINT (-73.891366 40.746746)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","368","Morrison Av-Soundview (6)","40.829521","-73.874516","392","125 St (4,5,6)","40.804138","-73.937594","2.527","POINT (-73.874516 40.829521)","POINT (-73.937594 40.804138)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","630","Myrtle-Wyckoff Avs (L,M)","40.699622","-73.911986","189","Grant Av (A)","40.677044","-73.86505","2.4434","POINT (-73.911986 40.699622)","POINT (-73.86505 40.677044)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","188","Euclid Av (A,C)","40.675377","-73.872106","209","Far Rockaway-Mott Av (A)","40.603995","-73.755405","2.1714","POINT (-73.872106 40.675377)","POINT (-73.755405 40.603995)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","320","23 St (1)","40.744081","-73.995657","359","Flatbush Av-Brooklyn College (2,5)","40.632836","-73.947642","0.6774","POINT (-73.995657 40.744081)","POINT (-73.947642 40.632836)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","222","Roosevelt Island (F)","40.759145","-73.95326","621","Broadway Junction (A,C,J,L,Z)","40.678896","-73.904356","0.49","POINT (-73.95326 40.759145)","POINT (-73.904356 40.678896)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","447","Flushing-Main St (7)","40.7596","-73.83003","636","Jay St-MetroTech (A,C,F,R)","40.692259","-73.986642","2.575","POINT (-73.83003 40.7596)","POINT (-73.986642 40.692259)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","618","14 St (A,C,E)/8 Av (L)","40.740335","-74.002134","147","175 St (A)","40.847391","-73.939704","12.1062","POINT (-74.002134 40.740335)","POINT (-73.939704 40.847391)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","612","Lexington Av-53 St (E,M)/51 St (6)","40.75733","-73.970487","407","Astor Pl (6)","40.730054","-73.99107","31.028","POINT (-73.970487 40.75733)","POINT (-73.99107 40.730054)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","318","34 St-Penn Station (1,2,3)","40.750373","-73.991057","295","231 St (1)","40.878856","-73.904834","12.7148","POINT (-73.991057 40.750373)","POINT (-73.904834 40.878856)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","310","96 St (1,2,3)","40.793919","-73.972323","437","145 St (3)","40.820421","-73.936245","2.8288","POINT (-73.972323 40.793919)","POINT (-73.936245 40.820421)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","452","90 St-Elmhurst Av (7)","40.748408","-73.876613","255","169 St (F)","40.71047","-73.793604","2.239","POINT (-73.876613 40.748408)","POINT (-73.793604 40.71047)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","443","Baychester Av (5)","40.878663","-73.838591","438","135 St (2,3)","40.814229","-73.94077","0.4742","POINT (-73.838591 40.878663)","POINT (-73.94077 40.814229)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","8","5 Av/59 St (N,R,W)","40.764811","-73.973347","50","Avenue M (Q)","40.617618","-73.959399","0.2238","POINT (-73.973347 40.764811)","POINT (-73.959399 40.617618)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","167","W 4 St-Wash Sq (A,C,E,B,D,F,M)","40.732338","-74.000495","440","116 St (2,3)","40.802098","-73.949625","1.589","POINT (-74.000495 40.732338)","POINT (-73.949625 40.802098)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","629","Lorimer St (L)/Metropolitan Av (G)","40.713428","-73.950847","318","34 St-Penn Station (1,2,3)","40.750373","-73.991057","0.686","POINT (-73.950847 40.713428)","POINT (-73.991057 40.750373)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","111","Seneca Av (M)","40.702762","-73.90774","607","34 St-Herald Sq (B,D,F,M,N,Q,R,W)","40.749643","-73.987887","0.2632","POINT (-73.90774 40.702762)","POINT (-73.987887 40.749643)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","101","Marcy Av (M,J,Z)","40.708359","-73.957757","71","8 Av (N)","40.635064","-74.011719","0.7512","POINT (-73.957757 40.708359)","POINT (-74.011719 40.635064)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","162","50 St (C,E)","40.762456","-73.985984","234","East Broadway (F)","40.713715","-73.990173","1.4788","POINT (-73.985984 40.762456)","POINT (-73.990173 40.713715)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","213","Fordham Rd (B,D)","40.861296","-73.897749","393","116 St (6)","40.798629","-73.941617","0.7718","POINT (-73.897749 40.861296)","POINT (-73.941617 40.798629)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","151","145 St (A,C,B,D)","40.824783","-73.944216","328","WTC Cortlandt (1)","40.711835","-74.012188","1.0126","POINT (-73.944216 40.824783)","POINT (-74.012188 40.711835)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","617","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","40.684162","-73.977789","296","Marble Hill-225 St (1)","40.874561","-73.909831","0.4926","POINT (-73.977789 40.684162)","POINT (-73.909831 40.874561)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","224","57 St (F)","40.763972","-73.97745","4","Broadway (N,W)","40.76182","-73.925508","0.4628","POINT (-73.97745 40.763972)","POINT (-73.925508 40.76182)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","118","3 Av (L)","40.732849","-73.986122","291","Clinton-Washington Avs (G)","40.688089","-73.966839","0.4428","POINT (-73.986122 40.732849)","POINT (-73.966839 40.688089)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","356","Church Av (2,5)","40.650843","-73.949575","601","14 St (F,M,1,2,3)/6 Av (L)","40.737796","-73.997732","0.281","POINT (-73.949575 40.650843)","POINT (-73.997732 40.737796)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","152","135 St (C,B)","40.817894","-73.947649","353","President St-Medgar Evers College (2,5)","40.667883","-73.950683","0.2376","POINT (-73.947649 40.817894)","POINT (-73.950683 40.667883)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","366","Parkchester (6)","40.833226","-73.860816","618","14 St (A,C,E)/8 Av (L)","40.740335","-74.002134","0.248","POINT (-73.860816 40.833226)","POINT (-74.002134 40.740335)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","611","Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","40.755746","-73.987581","187","Shepherd Av (C)","40.67413","-73.88075","1.2294","POINT (-73.987581 40.755746)","POINT (-73.88075 40.67413)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","255","169 St (F)","40.71047","-73.793604","218","167 St (B,D)","40.833771","-73.91844","2.1758","POINT (-73.793604 40.71047)","POINT (-73.91844 40.833771)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","151","145 St (A,C,B,D)","40.824783","-73.944216","94","Halsey St (J)","40.68637","-73.916559","0.4922","POINT (-73.944216 40.824783)","POINT (-73.916559 40.68637)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","380","Bedford Park Blvd-Lehman College (4)","40.873412","-73.890064","308","Cathedral Pkwy (110 St) (1)","40.803967","-73.966847","0.5308","POINT (-73.890064 40.873412)","POINT (-73.966847 40.803967)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","461","Queensboro Plaza (7,N,W)","40.750582","-73.940202","444","Gun Hill Rd (5)","40.869526","-73.846384","0.702","POINT (-73.940202 40.750582)","POINT (-73.846384 40.869526)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","236","Bergen St (F,G)","40.686145","-73.990862","313","72 St (1,2,3)","40.778453","-73.98197","0.6996","POINT (-73.990862 40.686145)","POINT (-73.98197 40.778453)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","123","Grand St (L)","40.711926","-73.94067","308","Cathedral Pkwy (110 St) (1)","40.803967","-73.966847","0.4602","POINT (-73.94067 40.711926)","POINT (-73.966847 40.803967)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","630","Myrtle-Wyckoff Avs (L,M)","40.699622","-73.911986","4","Broadway (N,W)","40.76182","-73.925508","0.2584","POINT (-73.911986 40.699622)","POINT (-73.925508 40.76182)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","54","Sheepshead Bay (B,Q)","40.586896","-73.954155","357","Beverly Rd (2,5)","40.645098","-73.948959","0.249","POINT (-73.954155 40.586896)","POINT (-73.948959 40.645098)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","250","Kings Hwy (F)","40.603217","-73.972361","625","Delancey St (F)/Essex St (J,M,Z)","40.718463","-73.987776","0.2444","POINT (-73.972361 40.603217)","POINT (-73.987776 40.718463)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","376","Brook Av (6)","40.807566","-73.91924","225","47-50 Sts-Rockefeller Ctr (B,D,F,M)","40.758663","-73.981329","0.2462","POINT (-73.91924 40.807566)","POINT (-73.981329 40.758663)"
